file,model,p,n,rho,alpha,method,mean,se
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,-,LCT-B,0.4736842105263157,
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,-,LCT-N,0.6344736842105263,0.04004203033102909
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,0.05,BH,0.735,0.026772423267539137
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,0.05,BY,0.4594736842105263,0.0354795526845619
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,0.05,LCT-B,0.3263157894736842,
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,0.05,LCT-N,0.591578947368421,0.040752865352111714
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,-,BH,0.9605263157894737,0.007056103664284241
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,-,BY,0.8189473684210526,0.024770119656906505
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,-,LCT-B,0.8421052631578947,
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,-,LCT-N,0.9005263157894736,0.019847427958283793
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,0.05,BH,0.9255263157894736,0.013256005414344216
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,0.05,BY,0.7789473684210526,0.028883081473293572
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,0.05,LCT-B,0.7894736842105263,
power_nmix_p250_n80_rho0.7_b20_R20.csv,nmix,250,80,0.7,0.05,LCT-N,0.8860526315789474,0.02185211531795878
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,-,BH,0.9986842105263157,0.0005228417198940867
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,-,BY,0.9752631578947369,0.005454954103810192
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,-,LCT-B,0.9894736842105264,
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,-,LCT-N,0.9942105263157895,0.002122505568364602
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,0.05,BH,0.9926315789473683,0.0021052631578947372
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,0.05,BY,0.9657894736842106,0.006993842708849532
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,0.05,LCT-B,0.9842105263157894,
power_nmix_p250_n80_rho0.8_b20_R20.csv,nmix,250,80,0.8,0.05,LCT-N,0.9926315789473685,0.002600929549984597
